Data;24364 - Índice de Atividade Econômica do Banco Central (IBC-Br) - com ajuste sazonal - Índice
01/01/2003;100,43
01/02/2003;101,95
01/03/2003;101,79
01/04/2003;101,01
01/05/2003;99,95
01/06/2003;100,13
01/07/2003;98,88
01/08/2003;99,81
01/09/2003;101,79
01/10/2003;101,86
01/11/2003;102,01
01/12/2003;101,97
01/01/2004;103,67
01/02/2004;104,51
01/03/2004;105,8
01/04/2004;106,38
01/05/2004;106,29
01/06/2004;107,18
01/07/2004;107,62
01/08/2004;108,16
01/09/2004;109,31
01/10/2004;108,74
01/11/2004;109,67
01/12/2004;109,07
01/01/2005;109,56
01/02/2005;110,18
01/03/2005;110,36
01/04/2005;111,08
01/05/2005;110,98
01/06/2005;110,29
01/07/2005;110,41
01/08/2005;111,2
01/09/2005;110,84
01/10/2005;111,1
01/11/2005;111,84
01/12/2005;112,92
01/01/2006;113,55
01/02/2006;113,71
01/03/2006;113,46
01/04/2006;114,3
01/05/2006;115,65
01/06/2006;114,32
01/07/2006;116,57
01/08/2006;116,56
01/09/2006;116,83
01/10/2006;118,14
01/11/2006;118,88
01/12/2006;120,72
01/01/2007;120,03
01/02/2007;120,37
01/03/2007;119,46
01/04/2007;120,98
01/05/2007;122,19
01/06/2007;123
01/07/2007;123,82
01/08/2007;124,15
01/09/2007;125,17
01/10/2007;126,3
01/11/2007;126,14
01/12/2007;127,61
01/01/2008;127,58
01/02/2008;127,14
01/03/2008;126,39
01/04/2008;127,92
01/05/2008;129,41
01/06/2008;130,48
01/07/2008;130,56
01/08/2008;130,97
01/09/2008;130,62
01/10/2008;128,15
01/11/2008;124,86
01/12/2008;121,69
01/01/2009;121,39
01/02/2009;122,42
01/03/2009;122,96
01/04/2009;123,43
01/05/2009;124,84
01/06/2009;125,46
01/07/2009;125,87
01/08/2009;127,98
01/09/2009;128,98
01/10/2009;130,01
01/11/2009;129,84
01/12/2009;132,1
01/01/2010;134,06
01/02/2010;135,37
01/03/2010;136,53
01/04/2010;137,05
01/05/2010;136,23
01/06/2010;135,94
01/07/2010;136,75
01/08/2010;137,6
01/09/2010;138,89
01/10/2010;138,74
01/11/2010;139,86
01/12/2010;138,68
01/01/2011;140,39
01/02/2011;140,93
01/03/2011;141,07
01/04/2011;140,98
01/05/2011;141,2
01/06/2011;141,87
01/07/2011;142,2
01/08/2011;141,87
01/09/2011;141,59
01/10/2011;141,64
01/11/2011;142,04
01/12/2011;140,93
01/01/2012;139,11
01/02/2012;140,57
01/03/2012;140,15
01/04/2012;140,76
01/05/2012;142,5
01/06/2012;143,56
01/07/2012;143,94
01/08/2012;144,22
01/09/2012;143,69
01/10/2012;144,86
01/11/2012;144,41
01/12/2012;144,17
01/01/2013;145
01/02/2013;143,81
01/03/2013;145,06
01/04/2013;146,27
01/05/2013;146,79
01/06/2013;146,34
01/07/2013;147,11
01/08/2013;147,17
01/09/2013;147,82
01/10/2013;147,98
01/11/2013;148,21
01/12/2013;148,74
01/01/2014;148,3
01/02/2014;147,97
01/03/2014;147,79
01/04/2014;147,09
01/05/2014;146,37
01/06/2014;143,42
01/07/2014;144,83
01/08/2014;145,66
01/09/2014;146,21
01/10/2014;145,39
01/11/2014;145,55
01/12/2014;146,28
01/01/2015;145,1
01/02/2015;144,03
01/03/2015;143,72
01/04/2015;142,02
01/05/2015;141,07
01/06/2015;139,54
01/07/2015;138,57
01/08/2015;138,81
01/09/2015;137,72
01/10/2015;138,78
01/11/2015;136,79
01/12/2015;136,46
01/01/2016;135,51
01/02/2016;135,42
01/03/2016;134,47
01/04/2016;134,52
01/05/2016;134,1
01/06/2016;134,56
01/07/2016;134,54
01/08/2016;133,69
01/09/2016;133,61
01/10/2016;133,34
01/11/2016;133,13
01/12/2016;132,53
01/01/2017;133,47
01/02/2017;135,54
01/03/2017;135,34
01/04/2017;135,34
01/05/2017;135,13
01/06/2017;135,95
01/07/2017;136,41
01/08/2017;135,59
01/09/2017;135,66
01/10/2017;136,07
01/11/2017;135,98
01/12/2017;138,13
01/01/2018;137,23
01/02/2018;136,83
01/03/2018;136,61
01/04/2018;137,32
01/05/2018;133,21
01/06/2018;137,39
01/07/2018;137,92
01/08/2018;138,89
01/09/2018;138,22
01/10/2018;138,46
01/11/2018;138,57
01/12/2018;139,18
01/01/2019;139,07
01/02/2019;137,69
01/03/2019;137,08
01/04/2019;136,97
01/05/2019;138,8
01/06/2019;138,86
01/07/2019;138,3
01/08/2019;138,24
01/09/2019;139,1
01/10/2019;140,57
01/11/2019;139,74
01/12/2019;139,23
01/01/2020;139,78
01/02/2020;139,67
01/03/2020;129,81
01/04/2020;117,31
01/05/2020;121,23
01/06/2020;126,99
01/07/2020;130,98
01/08/2020;133,75
01/09/2020;136,8
01/10/2020;139,35
01/11/2020;139,04
01/12/2020;139,59
01/01/2021;140
01/02/2021;141,06
01/03/2021;135,98
01/04/2021;137,72
01/05/2021;139,11
01/06/2021;139,01
01/07/2021;138,58
01/08/2021;138,9
01/09/2021;138,93
01/10/2021;139,74
01/11/2021;140,83
01/12/2021;141,38
01/01/2022;140,29
01/02/2022;140,96
01/03/2022;142,02
01/04/2022;142,21
01/05/2022;142,79
01/06/2022;143,61
01/07/2022;146,52
01/08/2022;145,04
01/09/2022;144,77
01/10/2022;144,47
01/11/2022;142,28
01/12/2022;143,15
01/01/2023;143,84
01/02/2023;148,37
01/03/2023;147,95
01/04/2023;149,61
01/05/2023;146,74
01/06/2023;147,1
01/07/2023;147,7
01/08/2023;146,51
01/09/2023;146,42
